manager,manager_id,profile_url,achievements_url,nationality,tm_country,country,team_profile_url,age,tenure_text,contract_until,former_player,former_player_profile_url,total_titles_won,title_types,honors_preview,foreign_to_team,age_rank_oldest,title_rank
Miroslav Koubek,9822,https://www.transfermarkt.com/miroslav-koubek/profil/trainer/9822,https://www.transfermarkt.com/miroslav-koubek/erfolge/trainer/9822,Czech Republic,Czechia,Czech Republic,https://www.transfermarkt.com/tschechien/startseite/verein/3445,74.0,05 months 17 days,2028,True,https://www.transfermarkt.com/miroslav-koubek/profil/spieler/717498,3,3,"1x Czech champion, 1x Czech 2nd Division Champion, 1x Conference League participant",True,2,38
Jamal Sellami,25573,https://www.transfermarkt.com/jamal-sellami/profil/trainer/25573,https://www.transfermarkt.com/jamal-sellami/erfolge/trainer/25573,Morocco,Jordan,Jordan,https://www.transfermarkt.com/jordanien/startseite/verein/15737,55.0,01 year 11 months 14 days,2027,True,https://www.transfermarkt.com/jamal-sellami/profil/spieler/103672,3,3,"1x Winner African Nations Championship, 1x Moroccan champion, 1x FIFA Club World Cup participant",True,27,38
Graham Potter,23954,https://www.transfermarkt.com/graham-potter/profil/trainer/23954,https://www.transfermarkt.com/graham-potter/erfolge/trainer/23954,England,Sweden,Sweden,https://www.transfermarkt.com/schweden/startseite/verein/3557,51.0,07 months 16 days,2030,True,https://www.transfermarkt.com/graham-potter/profil/spieler/224679,3,3,"1x Swedish cup winner, 1x Champions League participant, 1x Europa League participant",True,39,38
Sébastien Desabre,28090,https://www.transfermarkt.com/sebastien-desabre/profil/trainer/28090,https://www.transfermarkt.com/sebastien-desabre/erfolge/trainer/28090,France,Democratic Republic of the Congo,DR Congo,https://www.transfermarkt.com/demokratische-republik-kongo/startseite/verein/3854,49.0,03 years 09 months 29 days,2024,False,,3,2,"2x Africa Cup participant, 1x Tunisian Champion",True,42,38
Emerse Faé,63806,https://www.transfermarkt.com/emerse-fae/profil/trainer/63806,https://www.transfermarkt.com/emerse-fae/erfolge/trainer/63806,Cote d'Ivoire,Ivory Coast,Ivory Coast,https://www.transfermarkt.com/elfenbeinkuste/startseite/verein/3591,42.0,02 years 03 months 16 days,?,True,https://www.transfermarkt.com/emerse-fae/profil/spieler/12392,3,2,"1x Africa Cup winner, 2x Africa Cup participant",True,47,38
Bubista,84856,https://www.transfermarkt.com/bubista/profil/trainer/84856,https://www.transfermarkt.com/bubista/erfolge/trainer/84856,Cape Verde,Cape Verde,Cape Verde,https://www.transfermarkt.com/kap-verde/startseite/verein/4311,56.0,06 years 04 months 07 days,?,True,https://www.transfermarkt.com/bubista/profil/spieler/153234,2,1,2x Africa Cup participant,False,25,43
Sergej Barbarez,8649,https://www.transfermarkt.com/sergej-barbarez/profil/trainer/8649,https://www.transfermarkt.com/sergej-barbarez/erfolge/trainer/8649,Bosnia-Herzegovina,Bosnia-Herzegovina,Bosnia and Herzegovina,https://www.transfermarkt.com/bosnien-herzegowina/startseite/verein/3446,54.0,02 years 01 month 17 days,2028,True,https://www.transfermarkt.com/sergej-barbarez/profil/spieler/292,2,2,"1x World Cup participant, 1x Europa League participant",False,28,43
Mohamed Ouahbi,36751,https://www.transfermarkt.com/mohamed-ouahbi/profil/trainer/36751,https://www.transfermarkt.com/mohamed-ouahbi/erfolge/trainer/36751,Morocco,Morocco,Morocco,https://www.transfermarkt.com/marokko/startseite/verein/3575,49.0,03 months 00 days,?,False,,2,2,"1x Under-20 World Cup champion, 1x Europa League participant",False,42,43
Néstor Lorenzo,34086,https://www.transfermarkt.com/nestor-lorenzo/profil/trainer/34086,https://www.transfermarkt.com/nestor-lorenzo/erfolge/trainer/34086,Argentina,Colombia,Colombia,https://www.transfermarkt.com/kolumbien/startseite/verein/3816,60.0,03 years 10 months 27 days,2026,True,https://www.transfermarkt.com/nestor-lorenzo/profil/spieler/106977,1,1,1x Under-20 World Cup participant,True,17,46
Pape Thiaw,112222,https://www.transfermarkt.com/pape-thiaw/profil/trainer/112222,https://www.transfermarkt.com/pape-thiaw/erfolge/trainer/112222,Senegal,Senegal,Senegal,https://www.transfermarkt.com/senegal/startseite/verein/3499,45.0,01 year 05 months 23 days,?,True,https://www.transfermarkt.com/pape-thiaw/profil/spieler/3919,1,1,1x Winner African Nations Championship,False,45,46
Hossam Hassan,6120,https://www.transfermarkt.com/hossam-hassan/profil/trainer/6120,https://www.transfermarkt.com/hossam-hassan/erfolge/trainer/6120,Egypt,Egypt,Egypt,https://www.transfermarkt.com/agypten/startseite/verein/3672,59.0,02 years 03 months 30 days,?,True,https://www.transfermarkt.com/hossam-hassan/profil/spieler/38171,0,0,,False,18,48
